locus_tag,old_locus_tag,mist_product,mist_ranks,mist_dna_binding_domains,mist_input_domains,mist_output_domains,mist_signal_gene_id,mist_gene_id,genome_version,genome_name,taxonomy_id,selection,retrieved_at_utc
PA0032,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460400,1069048,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0376,,RNA polymerase sigma factor RpoH,ecf,Sigma70_r2|Sigma70_r4,,Sigma70_r2|Sigma70_r4,32460296,1069396,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0416,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460379,1069436,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0424,,multidrug resistance operon repressor MexR,ocp,MarR,,MarR,32460378,1069444,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0436,,transcriptional regulator,ocp,TetR_N,TetR_C_3,TetR_N,32460377,1069456,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0448,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460376,1069468,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0463,,DNA-binding response regulator CreB,tcp|rr,Trans_reg_C,,Trans_reg_C,32460374,1069484,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0472,,RNA polymerase sigma factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460372,1069493,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0475,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460371,1069496,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0477,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460370,1069498,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0479,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460369,1069500,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0487,,molybdenum transport regulator,ocp,HTH_1,TOBE,HTH_1,32460368,1069508,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0491,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460367,1069512,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0515,,heme d1 biosynthesis protein NirD,ocp,HTH_AsnC-type,,HTH_AsnC-type,32460295,1069536,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0527,,transcriptional regulator Dnr,ocp,HTH_Crp_2,cNMP_binding,HTH_Crp_2,32460293,1069548,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0528,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460292,1069550,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0533,,transcriptional regulator,ocp,GerE,PAS,GerE,32460291,1069555,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0535,,transcriptional regulator,ocp,HTH_3,Cupin_2,HTH_3,32460290,1069557,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0547,,transcriptional regulator,ocp,HTH_20,Methyltransf_23,HTH_20,32460289,1069569,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0564,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460288,1069586,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0576,,RNA polymerase sigma factor RpoD,ocp,Sigma70_r2|Sigma70_r3|Sigma70_r4,,Sigma70_r2|Sigma70_r3|Sigma70_r4,32460286,1069599,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0601,,two-component response regulator,tcp|rr,GerE,,GerE,32460284,1069624,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0611,,HTH-type transcriptional regulator PrtR,ocp,HTH_3,Peptidase_S24,HTH_3,32460283,1069634,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0652,,cAMP-regulatory protein,ocp,Crp,cNMP_binding,Crp,32460276,1069673,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0675,,ECF sigma factor VreI,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460275,1069701,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0701,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460274,1069727,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0701a,,AraC family transcriptional regulator,ocp,HTH_18,,HTH_18,32460273,1069728,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0708,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460271,1069735,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0739,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460326,1069768,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0756,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460325,1069785,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0762,,RNA polymerase sigma factor AlgU,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460323,1069791,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0780,,proline utilization regulator,ocp,HTH_18,,HTH_18,32460321,1069809,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0784,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460320,1069813,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0791,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460319,1069821,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0797,,transcriptional regulator,ocp,GntR,FCD,GntR,32460318,1069827,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0815,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460317,1069845,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0816,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460316,1069846,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0828,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460315,1069858,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0831,,ornithine utilization transcriptional regulator OruR,ocp,HTH_18,Arabinose_bd,HTH_18,32460314,1069861,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0839,,transcriptional regulator,ocp,TetR_N,TetR_C_13,TetR_N,32460313,1069870,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0864,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460310,1069895,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0876,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460308,1069907,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0877,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460307,1069908,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0893,,transcriptional regulator ArgR,ocp,HTH_18,,HTH_18,32460306,1069925,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0906,,transcriptional regulator,ocp,HTH_3,Peptidase_S24,HTH_3,32460365,1069941,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0929,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460363,1069965,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA0942,,transcriptional regulator,ocp,MarR_2,,MarR_2,32460361,1069978,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1003,,transcriptional regulator MvfR,ocp,HTH_1,LysR_substrate,HTH_1,32460305,1070038,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1015,,transcriptional regulator,ocp,HTH_IclR,IclR,HTH_IclR,32460270,1070051,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1050,,hypothetical protein,ocp,HTH_30,Diacid_rec,HTH_30,32460269,1070088,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1067,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460268,1070106,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1097,,transcriptional regulator FleQ,tcp|rr,HTH_8,,HTH_8,32460267,1070136,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1099,,two-component response regulator,tcp|rr,HTH_8,,HTH_8,32460265,1070138,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1109,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460263,1070148,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1128,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460257,1070170,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1136,,transcriptional regulator,ecf,GerE,Autoind_bind,GerE,32460256,1070178,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1138,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460255,1070180,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1141,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460254,1070183,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1142,,transcriptional regulator,ocp,GntR,UTRA,GntR,32460253,1070184,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1145,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460252,1070187,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1157,,two-component response regulator,tcp|rr,Trans_reg_C,,Trans_reg_C,32460251,1070198,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1179,,two-component response regulator PhoP,tcp|rr,Trans_reg_C,,Trans_reg_C,32460249,1070220,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1182,,transcriptional regulator,ocp,HTH_18,Arabinose_bd,HTH_18,32460246,1070223,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1184,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460245,1070225,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1196,,transcriptional regulator,ocp,HTH_8,PAS,HTH_8,32460244,1070237,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1201,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460243,1070242,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1223,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460282,1070264,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1226,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460281,1070267,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1229,,transcriptional regulator,ocp,HTH_18,,HTH_18,32460280,1070270,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1235,,transcriptional regulator,ocp,HTH_18,AraC_binding,HTH_18,32460279,1070276,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1241,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460278,1070282,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1261,,transcriptional regulator,ocp,HTH_18,PAS,HTH_18,32460241,1070302,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1263,,hypothetical protein,ocp,HTH_31,,HTH_31,32460240,1070304,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1264,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460239,1070305,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1269,,transcriptional regulator,ocp,GntR,FCD,GntR,32460238,1070310,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1283,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460237,1070324,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1285,,transcriptional regulator,ocp,MarR_2,,MarR_2,32460236,1070326,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1290,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460235,1070331,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1300,,ECF subfamily sigma-70 factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460234,1070341,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1309,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460233,1070350,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1312,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460232,1070353,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1315,,transcriptional regulator,ocp,TetR_N,,TetR_N,32460231,1070356,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1328,,transcriptional regulator,ocp,HTH_1,LysR_substrate,HTH_1,32460230,1070370,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1335,,two-component response regulator,tcp|rr,HTH_8,,HTH_8,32460229,1070377,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1347,,transcriptional regulator,ocp,GerE,PAS,GerE,32460227,1070389,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1351,,ECF subfamily sigma-70 factor,ecf,Sigma70_r2|Sigma70_r4_2,,Sigma70_r2|Sigma70_r4_2,32460226,1070393,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1359,,transcriptional regulator,ocp,HTH_3,Cupin_2,HTH_3,32460218,1070401,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1363,,ECF subfamily sigma-70 factor,ecf,Sigma70_r4_2,,Sigma70_r4_2,32460217,1070405,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1374,,hypothetical protein,ocp,HxlR,,HxlR,32460216,1070416,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1380,,transcriptional regulator,ocp,HTH_18,AraC_N,HTH_18,32460215,1070422,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
PA1397,,two-component response regulator,tcp|rr,GerE,,GerE,32460213,1070439,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,kind=output; function=DNA binding,2026-09-11T07:49:55+00:00
