locus_tag,common_name,feature_type,ncbi_gene_id,replicon,start,end,strand,description,is_tf,source_url,retrieved_at_utc
VNG0591C,,CDS,1447406,chromosome,450957,451601,-,hypothetical protein VNG0591C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0651G,imd1,CDS,1447455,chromosome,497085,497903,+,inosine-5'-monophosphate dehydrogenase,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0654C,,CDS,1447458,chromosome,499989,500732,-,hypothetical protein VNG0654C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0703H,,CDS,1447494,chromosome,531750,532034,+,hypothetical protein VNG0703H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0704C,,CDS,1447495,chromosome,532038,532409,-,hypothetical protein VNG0704C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0726C,,CDS,1447511,chromosome,546988,547578,-,hypothetical protein VNG0726C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0734G,tfbB,CDS,1447518,chromosome,553409,554386,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0751C,,CDS,1447532,chromosome,569022,569336,+,hypothetical protein VNG0751C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0757G,tfeA,CDS,1447537,chromosome,573224,573769,+,transcription initiation factor IIE alpha subunit,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0766G,prp2,CDS,1447545,chromosome,578203,579231,+,phosphate regulatory protein-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0826C,,CDS,1447590,chromosome,626458,627132,+,hypothetical protein VNG0826C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0835G,idr2,CDS,1447597,chromosome,633600,633962,-,iron-dependent repressor-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0852C,,CDS,1447608,chromosome,645426,646076,+,hypothetical protein VNG0852C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0869G,tfbD,CDS,1447620,chromosome,656539,657525,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0890G,imd2,CDS,1447634,chromosome,676676,677209,+,inosine-5'-monophosphate dehydrogenase,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0917G,hrg,CDS,1447653,chromosome,696355,696996,-,Hrg,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG0996G,boa4,CDS,1447715,chromosome,760682,762487,+,bacterio-opsin activator-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1029C,,CDS,1447742,chromosome,787221,787760,-,hypothetical protein VNG1029C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1071G,cinR,CDS,1447775,chromosome,820841,821197,-,transcription repressor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1096H,,CDS,1447794,chromosome,840223,840531,-,hypothetical protein VNG1096H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1123Gm,TRH7,CDS,1449036,chromosome,855154,855582,-,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1179C,,CDS,1447855,chromosome,888617,889327,-,hypothetical protein VNG1179C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1215G,pai1,CDS,1447882,chromosome,916393,916875,-,sporulation regulator-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1237C,,CDS,1447899,chromosome,931821,932303,+,hypothetical protein VNG1237C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1285G,trh2,CDS,1447935,chromosome,964009,964770,-,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1351G,trh6,CDS,1447983,chromosome,1006932,1007417,+,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1377G,asnC,CDS,1448002,chromosome,1026961,1027410,-,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1383G,rad3a,CDS,1448008,chromosome,1030786,1033188,+,helicase,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1390H,,CDS,1448015,chromosome,1036408,1036719,+,hypothetical protein VNG1390H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1398C,,CDS,1448019,chromosome,1040466,1040909,-,hypothetical protein VNG1398C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1405C,,CDS,1448023,chromosome,1042533,1042907,-,hypothetical protein VNG1405C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1426H,,CDS,1448039,chromosome,1060839,1061117,+,hypothetical protein VNG1426H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1451C,,CDS,1448056,chromosome,1074878,1075960,+,hypothetical protein VNG1451C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1464G,bat,CDS,1448068,chromosome,1085495,1087519,-,bacterio-opsin activator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1483C,,CDS,1448085,chromosome,1103741,1104244,-,hypothetical protein VNG1483C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1488G,boa2,CDS,1448089,chromosome,1106448,1107095,+,bacterio-opsin activator-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1490H,,CDS,1448090,chromosome,1107155,1107559,+,hypothetical protein VNG1490H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1496G,snp,CDS,1448095,chromosome,1110410,1110619,-,snRNP-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1508C,,CDS,1448103,chromosome,1119763,1121874,-,hypothetical protein VNG1508C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1510C,,CDS,1448104,chromosome,1121952,1123601,-,hypothetical protein VNG1510C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1548C,,CDS,1448133,chromosome,1155952,1156764,-,hypothetical protein VNG1548C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1616C,,CDS,1448177,chromosome,1204670,1205479,-,hypothetical protein VNG1616C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1617H,,CDS,1448178,chromosome,1205478,1205966,+,hypothetical protein VNG1617H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1776G,nirH,CDS,1448301,chromosome,1315383,1316441,-,heme biosynthesis protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1786H,,CDS,1448309,chromosome,1323053,1323331,-,hypothetical protein VNG1786H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1816G,trh3,CDS,1448330,chromosome,1344157,1344570,+,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1836G,cspD2,CDS,1448345,chromosome,1356243,1356452,+,cold shock protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1843C,,CDS,1448350,chromosome,1360326,1360982,+,hypothetical protein VNG1843C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1845C,,CDS,1448352,chromosome,1362289,1363230,+,hypothetical protein VNG1845C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1886C,,CDS,1448383,chromosome,1394134,1394925,-,hypothetical protein VNG1886C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1899G,kaiC,CDS,1448393,chromosome,1405118,1405774,-,KaiC,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1903Cm,,CDS,1449057,chromosome,1409286,1410086,-,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1911G,nirD,CDS,1448403,chromosome,1414027,1415064,-,heme biosynthesis protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG1922G,trh5,CDS,1448413,chromosome,1419958,1420185,-,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2020C,,CDS,1448488,chromosome,1492979,1493509,-,hypothetical protein VNG2020C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2036G,hlx1,CDS,1448501,chromosome,1502096,1502665,-,Hlx1,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2094G,trh4,CDS,1448543,chromosome,1538241,1538705,+,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2112C,,CDS,1448558,chromosome,1551547,1552377,+,hypothetical protein VNG2112C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2126C,,CDS,1448570,chromosome,1564023,1564751,-,hypothetical protein VNG2126C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2163H,,CDS,1448601,chromosome,1595672,1596076,+,hypothetical protein VNG2163H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2184G,tfbA,CDS,1448622,chromosome,1617647,1618510,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2243G,tbpE,CDS,1448667,chromosome,1670410,1670970,+,transcription factor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2268H,,CDS,1448685,chromosome,1685552,1685743,-,hypothetical protein VNG2268H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2277H,,CDS,1448694,chromosome,1695463,1695795,-,hypothetical protein VNG2277H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2441G,rad3b,CDS,1448823,chromosome,1831314,1833512,-,helicase,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2445C,,CDS,1448827,chromosome,1835158,1835790,-,hypothetical protein VNG2445C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2476C,,CDS,1448850,chromosome,1853446,1855077,-,hypothetical protein VNG2476C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2522C,,CDS,1448888,chromosome,1890170,1890721,-,hypothetical protein VNG2522C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2579G,idr1,CDS,1448931,chromosome,1933811,1934248,-,iron-dependent repressor-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2614H,,CDS,1448958,chromosome,1954955,1955227,+,hypothetical protein VNG2614H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2629G,glcK,CDS,1448970,chromosome,1967776,1968756,-,glucose kinase,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2641H,,CDS,1448980,chromosome,1978824,1979123,-,hypothetical protein VNG2641H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2647G,vacB,CDS,1448986,chromosome,1982832,1984121,+,hypothetical protein VNG2647G,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2661G,nusA,CDS,1448996,chromosome,1994139,1994558,-,transcription elongation factor NusA-like protein,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG2675C,,CDS,1449005,chromosome,2006920,2007438,-,hypothetical protein VNG2675C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG5050H,,cds,,pNRC100,39504,39785,+,predicted transcriptional regulator; PFAM03551:PadR/MarR family of transcriptional repressors; COG1695:predicted transcriptional regulators (PET=28),true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG5130H,,cds,,pNRC100,91734,92042,+,putative transcriptional regulator PadR family; COG1695:predicted transcriptional regulator; PF03551:PadR/marR family of transcriptional repressors; Rosetta predicts B-globin fold,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6143H,,CDS,1449316,pNRC200,114208,118026,-,hypothetical protein VNG6143H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6193H,,CDS,1449106,pNRC200,161733,162011,-,hypothetical protein VNG6193H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6239G,gvpE2,CDS,1449141,pNRC200,189529,190110,-,"GvpE protein, cluster B",true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6287H,,CDS,1449173,pNRC200,219970,220194,+,hypothetical protein VNG6287H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6288C,,CDS,1449174,pNRC200,220233,220511,+,hypothetical protein VNG6288C,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6318G,arcR,CDS,1449197,pNRC200,248466,249257,-,transcription regulator,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6351G,tfbC,CDS,1449350,pNRC200,282126,283079,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6387H,,CDS,1449376,pNRC200,307015,307326,-,hypothetical protein VNG6387H,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6389G,tfbE,CDS,1449377,pNRC200,307399,308322,-,transcription initiation factor IIB,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG6438G,tbpF,CDS,1449409,pNRC200,329788,330348,+,transcription factor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7007,,CDS,1446809,pNRC100,4614,4811,+,hypothetical protein VNG7007,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7023,gvpE,CDS,1446783,pNRC100,20095,20670,-,gas vesicle protein GvpE,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7031,,CDS,1446818,pNRC100,30044,30346,+,hypothetical protein VNG7031,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7048,,CDS,1446832,pNRC100,49236,50012,-,hypothetical protein VNG7048,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7053,,CDS,1446837,pNRC100,53918,54322,+,hypothetical protein VNG7053,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7100,tbpC,CDS,1446797,pNRC100,111987,112532,+,transcription factor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7102,,CDS,1446881,pNRC100,114461,114742,+,hypothetical protein VNG7102,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7112,,CDS,1446890,pNRC100,126536,126928,+,hypothetical protein VNG7112,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7114,tbpD,CDS,1446799,pNRC100,128346,128906,-,transcription factor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7122,,CDS,1446899,pNRC100,136700,137059,-,hypothetical protein VNG7122,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
VNG7125,arsR,CDS,1446802,pNRC100,140392,140781,+,arsenical resistance operon repressor,true,https://networks.systemsbiology.net/hal/genes/?filter=tf,2026-09-10T16:50:16+00:00
