locus_tag,old_locus_tag,refseq_protein,mist_aseq_id,mist_product,mist_ranks,mist_dna_binding_domains,mist_input_domains,mist_output_domains,mist_signal_gene_id,mist_gene_id,genome_version,genome_name,taxonomy_id,selection,retrieved_at_utc
VNG_RS03480,VNG0890G,WP_010902626.1,HPFmJ68-RWOwMsUuFVoaWA,HTH domain-containing protein,ocp,HrcA_DNA-bdg,,HrcA_DNA-bdg,32390799,73491,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS03675,VNG0943C,WP_010902668.1,xRDq4GxQbo5QXR0b6D7OHw,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390771,73530,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS03875,VNG0996G,WP_010902709.1,Oidjw5n51_CnIgZTy6OEVA,XRE family transcriptional regulator,ocp,HTH_10,GAF,HTH_10,32390761,73573,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS04015,VNG1029C,WP_010902735.1,vtGW791fHg5ovJ9F5-n2GA,TIGR00270 family protein,ocp,HTH_3,,HTH_3,32390759,73602,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS04280,VNG1096H,WP_049892503.1,RnZ0RVl43t6LeQQFbpOV6Q,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390747,73655,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS04380,VNG1123Gm,WP_010902807.1,iZemEDG632xFtjl6XS2Pww,AsnC family transcriptional regulator,ocp,HTH_24,AsnC_trans_reg,HTH_24,32390746,73675,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS04605,VNG1179C,WP_012289287.1,pI79a1BQ0MZAZdB6nhVH7A,TRASH domain-containing protein,ocp,HTH_AsnC-type,Arc_trans_TRASH,HTH_AsnC-type,32390744,73720,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS04720,VNG1207C,WP_010902872.1,Q1yDU_-rsaFB8mHfVc7E4Q,helix-turn-helix domain-containing protein,ocp,HTH_10,,HTH_10,32390788,73743,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS04845,VNG1237C,WP_010902895.1,HUBvqbUOLf1chYPkRibCEw,Lrp/AsnC family transcriptional regulator,ocp,HTH_AsnC-type,,HTH_AsnC-type,32390786,73769,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05030,VNG1285G,WP_010902932.1,4zhhNOqMHMyht_Y7jXgysA,HTH domain-containing protein,ocp,HTH_24,TrkA_C,HTH_24,32390784,73807,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05270,VNG1351G,WP_010902980.1,PpTKQVazQoMw2z0LEkKFag,Lrp/AsnC family transcriptional regulator,ocp,HTH_24,AsnC_trans_reg,HTH_24,32390743,73856,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05365,VNG1377G,WP_010903000.1,PACQL74v8L7GbFlD4dm2EA,Lrp/AsnC family transcriptional regulator,ocp,HTH_AsnC-type,AsnC_trans_reg,HTH_AsnC-type,32390740,73875,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05475,VNG1405C,WP_010903020.1,Ne2SLM5JYCXlhrD4PWIz6w,transcriptional regulator,ocp,HxlR,,HxlR,32390738,73897,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05555,VNG1426H,WP_010903037.1,o4yLR--RF2Z4BQP7rrDS3Q,PadR family transcriptional regulator,ocp,PadR,,PadR,32390737,73913,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05640,VNG1451C,WP_010903054.1,7jZt1efR-jLqYQr2q8TPgw,ArsR family transcriptional regulator,ocp,TrmB,Regulator_TrmB,TrmB,32390735,73930,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05700,VNG1464G,WP_010903066.1,c3mL4lfH-HwpdS8ztzCC1A,bacterio-opsin activator,tcp|rr,HTH_10,GAF|PAS,HTH_10,32390734,73942,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05800,VNG1488G,WP_010903087.1,ggPXLRKrunrUvJOXWSeJoQ,DNA-binding protein,ocp,HTH_10,,HTH_10,32390733,73962,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05805,VNG1490H,WP_010903088.1,KBxwlGRv39By6isw06wTQw,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390732,73963,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS05965,VNG1534a,WP_012289348.1,_NMdoLuZR8gnMx1Kz96a4Q,biotin--[acetyl-CoA-carboxylase] ligase,ocp,HTH_11,BPL_LplA_LipB,HTH_11,32390728,73996,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS06030,VNG1548C,WP_010903130.1,UKC9gmM_MB_kO5fkc_M7_Q,Crp/Fnr family transcriptional regulator,ocp,HTH_24,,HTH_24,32390726,74009,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS06205,VNG1598a,WP_010903164.1,e6Mmu8Uy17AMjFa_Cr_j1w,Tfx family DNA-binding protein,ocp,Sigma70_r4,,Sigma70_r4,32390725,74045,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS06270,VNG1616C,WP_012289362.1,1dF7BOQSUvUJJUwns9H5kQ,transcriptional regulator,ocp,HTH_31,,HTH_31,32390757,74058,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS07040,VNG1816G,WP_010903327.1,MWzYfXhhQOgrzDRoAzv0ng,Lrp/AsnC family transcriptional regulator,ocp,HTH_AsnC-type,AsnC_trans_reg,HTH_AsnC-type,32390748,74213,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS07145,VNG1843C,WP_010903348.1,h7xuenb6fRE7pE1nW_dQeA,MarR family transcriptional regulator,ocp,HTH_5,,HTH_5,32390724,74234,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS07310,VNG1886C,WP_010903381.1,pktkeVUcLA3BnvTRbPdUzQ,TrmB family transcriptional regulator,ocp,TrmB,,TrmB,32390722,74267,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS07385,VNG1903C,WP_010903396.1,iNOssrnsBZd42pGFTmg6OQ,TrmB family transcriptional regulator,ocp,TrmB,,TrmB,32390720,74282,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS07825,VNG2020C,WP_010903486.1,TLXlx0vZuW-AlHM4c4ix6Q,PadR family transcriptional regulator,ocp,PadR,,PadR,32390716,74372,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS08105,VNG2094G,WP_010903541.1,kdeVcVKft1XpzppStcXw1Q,AsnC family transcriptional regulator,ocp,HTH_24,AsnC_trans_reg,HTH_24,32390713,74428,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS08180,VNG2112C,WP_012289434.1,TZBVgpCz9Ah6tvjvAyUu7w,transcriptional regulator,ocp,HTH_3,,HTH_3,32390712,74443,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS08410,VNG2163H,WP_010903601.1,bZa_yEN4i_ZjOPbedKYXGQ,"ribbon-helix-helix protein, CopG family",ocp,RHH_1,,RHH_1,32390711,74489,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS08685,VNG2230H,WP_010903654.1,bA6BH3rAJfZ9rY5JLxOcLQ,transcriptional regulator,ocp,HTH_20,,HTH_20,32390709,74546,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS08840,VNG2268H,WP_010903684.1,0vE8pfHf5zRZkwdEZc_9XA,"ribbon-helix-helix protein, CopG family",ocp,RHH_1,,RHH_1,32390708,74577,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS09445,VNG2414H,WP_010903803.1,nbz2R-crXBdROdJo8APMXA,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390706,74698,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS09565,VNG2445C,WP_010903828.1,artrU7BM_4gQvnpROGMahQ,ArsR family transcriptional regulator,ocp,HTH_20,,HTH_20,32390705,74722,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10085,VNG2579G,WP_010903926.1,vEbFTyfzVch-7IT7pUdYQA,metal-dependent transcriptional regulator,ocp,Fe_dep_repress,,Fe_dep_repress,32390701,74827,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10490,VNG2675C,WP_012289535.1,2dR_b-2k-lhZ8sDhyW1-IA,TetR/AcrR family transcriptional regulator,ocp,TetR_N,TetR_C_6,TetR_N,32390700,74907,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10615,VNG6027G,WP_010890521.1,BDiCUQ2V-25tZ3Gzjga8oQ,transcriptional regulator,ocp,PadR,,PadR,32390680,75132,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10630,VNG6031G,WP_010890518.1,ARh4J7HQQ85O18pLtkgCNQ,gas vesicle protein GvpC,ocp,ROS_MUCR,,ROS_MUCR,32390679,75135,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10715,VNG6048H,WP_010904014.1,eTy22uQEnQDlAJKmeK0D5Q,PadR family transcriptional regulator,ocp,PadR,,PadR,32390677,75152,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10770,VNG6065G,WP_049892625.1,RUftGAm6HEoxNibyvj2emQ,XRE family transcriptional regulator,ocp,HTH_10,,HTH_10,32390676,75163,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10790,VNG6072C,WP_010890426.1,3n-wKat9fwn55BU3rmiEIg,transcriptional regulator,ocp,TrmB,,TrmB,32390675,75167,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10830,VNG6082H,WP_010890434.1,BNKlsW0boUJOoJxdU_46tQ,ArsR family transcriptional regulator,ocp,TrmB,,TrmB,32390674,75176,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS10980,VNG6126H,WP_012289582.1,v6xQHIz9IrvOvtluAzMwiQ,PadR family transcriptional regulator,ocp,PadR,,PadR,32390673,75209,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11240,VNG6193H,WP_010904071.1,-eFq4si3o9tL6kfO0TQIsw,type II toxin-antitoxin system Phd/YefM family antitoxin,ocp,RHH_1,,RHH_1,32390669,75270,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11385,VNG6239G,WP_010904106.1,OktLQ5t3X0pjpB-3IMyKWg,transcriptional regulator,ocp,PadR,,PadR,32390667,75302,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11535,VNG6288C,WP_010904139.1,_04_SzeMXnZwGEfP__d2sQ,type II toxin-antitoxin system Phd/YefM family antitoxin,ocp,RHH_1,,RHH_1,32390665,75334,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11640,VNG6318G,WP_010904162.1,IIgx4Y2KkGfzLLG_ZC-qHg,transcriptional regulator,ocp,HTH_IclR,IclR,HTH_IclR,32390664,75358,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11785,VNG6357H,WP_010904190.1,QqvoJVCh-BKzE7tADapJ0Q,transcriptional regulator,ocp,Rrf2,,Rrf2,32390663,75399,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11830,,WP_012289741.1,q1rsYW1BNxN6WYbWPT0AJg,MarR family transcriptional regulator,ocp,MarR_2,,MarR_2,32390661,75411,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11865,VNG6377H,WP_012289745.1,MoBNOIS6jdMaV0xd5N0kLg,transcriptional regulator,ocp,TrmB,,TrmB,32390660,75418,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS11935,VNG6402H,WP_010904219.1,M14jyZ1HSCjqI-l2hRCF4g,ArsR family transcriptional regulator,ocp,HTH_IclR,,HTH_IclR,32390659,75432,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12030,VNG6444H,WP_010890434.1,BNKlsW0boUJOoJxdU_46tQ,ArsR family transcriptional regulator,ocp,TrmB,,TrmB,32390658,75459,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12070,VNG6454C,WP_010890426.1,3n-wKat9fwn55BU3rmiEIg,transcriptional regulator,ocp,TrmB,,TrmB,32390657,75467,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12090,VNG6461G,WP_049892625.1,RUftGAm6HEoxNibyvj2emQ,XRE family transcriptional regulator,ocp,HTH_10,,HTH_10,32390656,75471,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12145,VNG6478H,WP_010904014.1,eTy22uQEnQDlAJKmeK0D5Q,PadR family transcriptional regulator,ocp,PadR,,PadR,32390655,75482,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12310,VNG7023,WP_010890521.1,BDiCUQ2V-25tZ3Gzjga8oQ,transcriptional regulator,ocp,PadR,,PadR,32390698,74933,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12325,VNG7026,WP_010890518.1,ARh4J7HQQ85O18pLtkgCNQ,gas vesicle protein GvpC,ocp,ROS_MUCR,,ROS_MUCR,32390697,74936,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12410,,WP_010904014.1,eTy22uQEnQDlAJKmeK0D5Q,PadR family transcriptional regulator,ocp,PadR,,PadR,32390695,74953,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12465,VNG7048,WP_049892625.1,RUftGAm6HEoxNibyvj2emQ,XRE family transcriptional regulator,ocp,HTH_10,,HTH_10,32390694,74964,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12485,VNG7053,WP_010890426.1,3n-wKat9fwn55BU3rmiEIg,transcriptional regulator,ocp,TrmB,,TrmB,32390693,74968,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12525,VNG7061,WP_010890434.1,BNKlsW0boUJOoJxdU_46tQ,ArsR family transcriptional regulator,ocp,TrmB,,TrmB,32390692,74977,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12675,,WP_012289582.1,v6xQHIz9IrvOvtluAzMwiQ,PadR family transcriptional regulator,ocp,PadR,,PadR,32390691,75010,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12745,VNG7102,WP_010890479.1,WSa5hO7U9ikNmaCib5rfOQ,PadR family transcriptional regulator,ocp,PadR,,PadR,32390690,75026,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12790,VNG7112,WP_010890469.1,URloZxawUbJ5iTIGY9nWEg,MarR family transcriptional regulator,ocp,MarR_2,,MarR_2,32390689,75035,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12840,VNG7122,WP_010890459.1,IJtRlTFPNxpT_PWF6__ppA,transcriptional regulator,ocp,HTH_20,,HTH_20,32390688,75046,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12860,VNG7124,WP_010890457.1,pDvzZ-n_t5GQeU8O_9e_8w,arsenical resistance operon transcriptional repressor ArsD,ocp,ArsD,,ArsD,32390687,75050,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
VNG_RS12970,VNG7148,WP_010890434.1,BNKlsW0boUJOoJxdU_46tQ,ArsR family transcriptional regulator,ocp,TrmB,,TrmB,32390685,75076,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,kind=output; function=DNA binding,2026-09-11T11:14:38+00:00
